"SITE","DATE","SP_CODE","COUNT","AREA","COMMON_NAME"
"NAPL","2024-07-24","HRUB",1,80,"Garibaldi"
"NAPL","2016-07-26","OCAL",4,80,"Senorita"
"NAPL","2016-07-26","OCAL",3,80,"Senorita"
"NAPL","2017-07-24","OCAL",6,80,"Senorita"
"NAPL","2017-07-24","OCAL",1,80,"Senorita"
"NAPL","2017-07-24","OCAL",6,80,"Senorita"
"NAPL","2018-07-16","OCAL",20,80,"Senorita"
"NAPL","2018-07-16","OCAL",6,80,"Senorita"
"NAPL","2019-07-18","OCAL",3,80,"Senorita"
"NAPL","2019-07-18","OCAL",1,80,"Senorita"
"NAPL","2019-07-18","OCAL",1,80,"Senorita"
"NAPL","2019-07-18","OCAL",6,80,"Senorita"
"NAPL","2020-07-23","OCAL",2,80,"Senorita"
"NAPL","2020-07-23","OCAL",1,80,"Senorita"
"NAPL","2021-07-26","OCAL",0,80,"Senorita"
"NAPL","2022-07-19","OCAL",4,80,"Senorita"
"NAPL","2023-07-19","OCAL",1,80,"Senorita"
"NAPL","2023-07-19","OCAL",1,80,"Senorita"
"NAPL","2023-07-19","OCAL",3,80,"Senorita"
"NAPL","2024-07-24","OCAL",6,80,"Senorita"
"NAPL","2024-07-24","OCAL",4,80,"Senorita"
"NAPL","2016-07-26","PCLA",1,80,"Kelp Bass"
"NAPL","2016-07-26","PCLA",1,80,"Kelp Bass"
"NAPL","2016-07-26","PCLA",1,80,"Kelp Bass"
"NAPL","2016-07-26","PCLA",1,80,"Kelp Bass"
"NAPL","2017-07-24","PCLA",1,80,"Kelp Bass"
"NAPL","2017-07-24","PCLA",1,80,"Kelp Bass"
"NAPL","2018-07-16","PCLA",4,80,"Kelp Bass"
"NAPL","2018-07-16","PCLA",3,80,"Kelp Bass"
"NAPL","2018-07-16","PCLA",1,80,"Kelp Bass"
"NAPL","2018-07-16","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",2,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2019-07-18","PCLA",1,80,"Kelp Bass"
"NAPL","2020-07-23","PCLA",0,80,"Kelp Bass"
"NAPL","2021-07-26","PCLA",3,80,"Kelp Bass"
"NAPL","2021-07-26","PCLA",9,80,"Kelp Bass"
"NAPL","2021-07-26","PCLA",1,80,"Kelp Bass"
"NAPL","2021-07-26","PCLA",8,80,"Kelp Bass"
"NAPL","2022-07-19","PCLA",0,80,"Kelp Bass"
"NAPL","2023-07-19","PCLA",4,80,"Kelp Bass"
"NAPL","2023-07-19","PCLA",3,80,"Kelp Bass"
"NAPL","2023-07-19","PCLA",3,80,"Kelp Bass"
"NAPL","2023-07-19","PCLA",1,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",1,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",2,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",2,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",1,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",4,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",1,80,"Kelp Bass"
"NAPL","2024-07-24","PCLA",1,80,"Kelp Bass"
"NAPL","2016-07-26","DVAC",0,80,"Pile Surfperch"
"NAPL","2017-07-24","DVAC",0,80,"Pile Surfperch"
"NAPL","2018-07-16","DVAC",0,80,"Pile Surfperch"
"NAPL","2019-07-18","DVAC",1,80,"Pile Surfperch"
"NAPL","2019-07-18","DVAC",1,80,"Pile Surfperch"
"NAPL","2019-07-18","DVAC",1,80,"Pile Surfperch"
"NAPL","2019-07-18","DVAC",2,80,"Pile Surfperch"
"NAPL","2020-07-23","DVAC",1,80,"Pile Surfperch"
"NAPL","2020-07-23","DVAC",1,80,"Pile Surfperch"
"NAPL","2020-07-23","DVAC",1,80,"Pile Surfperch"
"NAPL","2021-07-26","DVAC",1,80,"Pile Surfperch"
"NAPL","2022-07-19","DVAC",0,80,"Pile Surfperch"
"NAPL","2023-07-19","DVAC",1,80,"Pile Surfperch"
"NAPL","2024-07-24","DVAC",1,80,"Pile Surfperch"
"NAPL","2016-07-26","SMYS",10,80,"Blue Rockfish"
"NAPL","2016-07-26","SMYS",2,80,"Blue Rockfish"
"NAPL","2017-07-24","SMYS",0,80,"Blue Rockfish"
"NAPL","2018-07-16","SMYS",0,80,"Blue Rockfish"
"NAPL","2019-07-18","SMYS",0,80,"Blue Rockfish"
"NAPL","2020-07-23","SMYS",0,80,"Blue Rockfish"
"NAPL","2021-07-26","SMYS",0,80,"Blue Rockfish"
"NAPL","2022-07-19","SMYS",0,80,"Blue Rockfish"
"NAPL","2023-07-19","SMYS",0,80,"Blue Rockfish"
"NAPL","2024-07-24","SMYS",0,80,"Blue Rockfish"
"NAPL","2016-07-26","SPUL",1,80,"California Sheephead"
"NAPL","2016-07-26","SPUL",1,80,"California Sheephead"
"NAPL","2017-07-24","SPUL",1,80,"California Sheephead"
"NAPL","2017-07-24","SPUL",1,80,"California Sheephead"
"NAPL","2018-07-16","SPUL",6,80,"California Sheephead"
"NAPL","2018-07-16","SPUL",3,80,"California Sheephead"
"NAPL","2018-07-16","SPUL",4,80,"California Sheephead"
"NAPL","2019-07-18","SPUL",1,80,"California Sheephead"
"NAPL","2019-07-18","SPUL",3,80,"California Sheephead"
"NAPL","2019-07-18","SPUL",1,80,"California Sheephead"
"NAPL","2019-07-18","SPUL",1,80,"California Sheephead"
"NAPL","2019-07-18","SPUL",1,80,"California Sheephead"
"NAPL","2019-07-18","SPUL",2,80,"California Sheephead"
"NAPL","2020-07-23","SPUL",1,80,"California Sheephead"
"NAPL","2020-07-23","SPUL",1,80,"California Sheephead"
"NAPL","2021-07-26","SPUL",1,80,"California Sheephead"
"NAPL","2021-07-26","SPUL",1,80,"California Sheephead"
"NAPL","2021-07-26","SPUL",2,80,"California Sheephead"
"NAPL","2022-07-19","SPUL",1,80,"California Sheephead"
"NAPL","2022-07-19","SPUL",1,80,"California Sheephead"
"NAPL","2023-07-19","SPUL",1,80,"California Sheephead"
"NAPL","2023-07-19","SPUL",1,80,"California Sheephead"
"NAPL","2023-07-19","SPUL",3,80,"California Sheephead"
"NAPL","2023-07-19","SPUL",1,80,"California Sheephead"
"NAPL","2023-07-19","SPUL",1,80,"California Sheephead"
"NAPL","2024-07-24","SPUL",1,80,"California Sheephead"
"NAPL","2024-07-24","SPUL",1,80,"California Sheephead"
"NAPL","2024-07-24","SPUL",1,80,"California Sheephead"
